screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
davitosgeorge,2021-03-06T09:36:20Z,Μεγαλώνει η λίστα ανθρώπων στους οποίους ευχόμαστε ολόψυχα ΤΟΝ ΠΟΥΛΟ! #Σκαταιβαζ #Σκατιανα #Λατινοπουλου #Πυργιωτη #ΛΙΓΝΑΔΗΣ #ΧΑΤΖΗΣ #δοξας #Κιμουλης #Φιλιππιδης #Χαικαλης #Μητσοτακης #Μενδωνη #Κεραμεως #μαρκουλάκης #μανεσης #Χρυσοχοιδης,,,"Σαπίλα, σαπίλα παντού! Tweeting in Greek & English 🐦",Twitter for iPhone,el,1368133336619773957
Lostin_TV_land,2021-03-06T09:20:20Z,Καλο Σαββατοκύριακο ! Θυμιζω θελουμε το #ΠαιδωνΑγιαΣοφια6 ανοικτο κ χωρις να υπολειτουργει. Τους #ΛΙΓΝΑΔΗΣ  #φιλλιπιδης #Χαικαλης #δοξας #Κιμουλης #ΧΑΤΖΗΣ #στραβοποδης να πληρωσουν και τον καλο μου τον #Μπιμπιλας_για_διευθυντής εαν δεν #καπουτζιδης_για_διευθυντής,,,"Το παρον account ψεκαζετε
δια πάσαν νόσον και μαλακια
επίσης
επιβάλλεται η χρηση  μασκας εντως του account",Twitter for Android,el,1368129309278404608
FanPapadakis,2021-03-06T08:51:43Z,"Όλοι αυτοί οι δήθεν ""άνδρες"", οι οποίοι υβρίζουν, χειροδικούν &amp; βιάζουν Γυναίκες, δεν έχουν σκεφθεί ποτέ ότι μια Γυναίκα τους γέννησε, διακινδυνεύοντας τη ζωή της; Αυτοί δεν έχουν Μάνες &amp; Αδερφές; #Δοξας #Φιλιππιδης #Σπυροπουλος #Χαικαλης #Χατζης #Κιμουλης #metooGR #metooGreece",,,"Tαξιδιώτης του Oνείρου, Ρεαλιστής & Ακομμάτιστος.
Αναζητώντας Ελευθερία, Δικαιοσύνη & Αλήθεια.
""Μην κάνεις στους άλλους ότι δεν θα ήθελες να σου κάνουν""!",Twitter Web App,el,1368122106374983688
peris_xrisos,2021-03-06T08:39:16Z,"Θα προτιμούσε μάλλον : Την πολιτική να εκπροσωπεί ο Φίλης, η Πέρκα και ο Πολάκης. Την επιχειρηματικότητα ο Καλογρίτας. Τη δημοσιογραφία Βαξεβάνης. Τη μουσική ο Υποχθόνιος. Την υποκριτική ο Χαϊκάλης. Τη φιλανθρωπία οι ΜΚΟ του Παπαδημούλη και την αγάπη ο Αλέξης. https://t.co/o4UJB11euE",,,Κλασικό Κράξιμο,Twitter for iPhone,el,1368118975800967170
fimesgr,2021-03-06T08:27:15Z,Νέες καταγγελίες για γνωστό κωμικό: Τι λένε δύο νέες υποθέσεις κακουργηματικού χαρακτήρα https://t.co/g0gQB1FSlw #ΛΙΓΝΑΔΗΣ #Σπυροπουλος #Φιλιππιδης #Χαικαλης #Κιμουλης #MeToo #λιβαθινος  #χατζης #ΚΟΥΓΙΑΣ #στραβοποδης #Μπιμπιλας #Σκατιανα #λαζοπουλος,,,"Πολιτική, Oικονομία, Μedia: Ό,τι κινείται... καταγράφεται",Twitter Web App,el,1368115949795241984
CreteDoc,2021-03-06T08:12:16Z,"Παύλος Χαϊκάλης - Γιατί ""εξαφανίστηκαν"" οι κατηγορίες για τον ηθοποιό; - Που ""χάθηκε"" το αρσενικό παλαιάς κοπής; #CreteDoc #Ειδήσεις https://t.co/ujWFIIaSR1",,,"Ενημέρωση και Ψυχαγωγία, Υπεύθυνα με Πολυφωνία και Ψυχραιμία - Crete News and Travel",WordPress.com,el,1368112177337556992
MissAngelikaki,2021-03-06T07:17:41Z,"""Κόψε - κόψε"" τα ""λουλούδια"" που είχε μαζέψει η τηλεόραση κ το θέατρο, σε λίγο δεν θα υπάρχει πρόγραμμα για να δούμε. 
Τα ""καλύτερα ανθη"" μαζεύανε πάντως. ⛔
#ΛΙΓΝΑΔΗΣ #Φιλιππίδης #Χαικαλης #ΧΑΤΖΗΣ 
#Κιμουλης #Σπυρόπουλος #δοξας κ.α.",,,"My life is good 
👩‍💻🧳📸🏖️🌎❤️🌅👨‍🦰💃✈️🎶🌺🏊🌊",Twitter for Android,el,1368098442027929602
beatraveller21,2021-03-06T05:57:46Z,Pls share #δοξας #survivorgreece #ΛΙΓΝΑΔΗΣ #ΧΑΤΖΗΣ #Χαικαλης #Φιλιππίδης #MasterChefGR #MeToo #metoogreece https://t.co/raS8AVXGuK,,,,Twitter for Android,en,1368078332554838017
TZEPI9s9jU98ncz,2021-03-06T03:27:53Z,"Σκέφτομαι οτι ολοι αυτοί,Φιλιππίδης,Χαικάλης,Δόξας,στήριξαν την επιτυχία τους σε ερμηνείες γεμάτες χοντράδες,αξεστο χιούμορ,καλαμπούρι ελληναρά..Πολλές φορές οπως ο Δόξας γελοιοποίησαν γυναίκες..Δεν συνδέω την βία με το χυδαίο χιούμορ,αλλα ολο αυτό δεν ειναι τυχαίο..#δοξας",,,Αντρας νεας κοπης..,Twitter for Android,el,1368040611773841409
nofusionice,2021-03-06T02:23:45Z,το φαρμακειο ομως το ξερει; ποιος τα βγαζει αυτα ρε παιδια; #δοξας #Χαικαλης #Φιλιππίδης https://t.co/iCTLQ9L0tD,,,,Twitter Web App,el,1368024472024981506
