screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
NoNameMeTooGR,2021-07-08T10:22:23Z,"#Λιγναδης #Λιγναδης_gate #Λιγναδης_παιδεραστης 
#ΜΚΟ #που_είναι_τα_παιδια
#αρσακειο #μπαμπινιωτης #μενδωνη #κεραμεως
#μαρκουλακης #καρυδηεκτοςμεγκα #χειλακης 
#κουρκουλα #metooGR #MeToo
https://t.co/TGYSsigGyD",,,"Επαγγελματίας Ομοφυλόφιλος
Ατάλαντο και μέτριο ακάου υβριστικού περιεχομένου
Σιχαίνομαι τα πλυντήρια. Προσδοκώ επώνυμες καταθέσεις στην ανακρίτρια. #metoo",Twitter Web App,,1413081019490652167
NoNameMeTooGR,2021-07-08T10:21:49Z,"#Λιγναδης #Λιγναδης_gate #Λιγναδης_παιδεραστης 
#ΜΚΟ #που_είναι_τα_παιδια
#αρσακειο #μπαμπινιωτης #μενδωνη #κεραμεως
#μαρκουλακης #καρυδηεκτοςμεγκα #χειλακης 
#κουρκουλα #metooGR #MeToo
https://t.co/b6IOuLUikM",,,"Επαγγελματίας Ομοφυλόφιλος
Ατάλαντο και μέτριο ακάου υβριστικού περιεχομένου
Σιχαίνομαι τα πλυντήρια. Προσδοκώ επώνυμες καταθέσεις στην ανακρίτρια. #metoo",Twitter Web App,,1413080875940696065
NoNameMeTooGR,2021-07-08T10:21:25Z,"#Λιγναδης #Λιγναδης_gate #Λιγναδης_παιδεραστης 
#ΜΚΟ #που_είναι_τα_παιδια
#αρσακειο #μπαμπινιωτης #μενδωνη #κεραμεως
#μαρκουλακης #καρυδηεκτοςμεγκα #χειλακης 
#κουρκουλα #metooGR #MeToo
https://t.co/yf3z54YEO3",,,"Επαγγελματίας Ομοφυλόφιλος
Ατάλαντο και μέτριο ακάου υβριστικού περιεχομένου
Σιχαίνομαι τα πλυντήρια. Προσδοκώ επώνυμες καταθέσεις στην ανακρίτρια. #metoo",Twitter Web App,,1413080777080905729
NoNameMeTooGR,2021-07-08T10:20:55Z,"#Λιγναδης #Λιγναδης_gate #Λιγναδης_παιδεραστης 
#ΜΚΟ #που_είναι_τα_παιδια
#αρσακειο #μπαμπινιωτης #μενδωνη #κεραμεως
#μαρκουλακης #καρυδηεκτοςμεγκα #χειλακης 
#κουρκουλα #metooGR #MeToo
https://t.co/H9Hi1n06Rw",,,"Επαγγελματίας Ομοφυλόφιλος
Ατάλαντο και μέτριο ακάου υβριστικού περιεχομένου
Σιχαίνομαι τα πλυντήρια. Προσδοκώ επώνυμες καταθέσεις στην ανακρίτρια. #metoo",Twitter Web App,,1413080649309855745
NoNameMeTooGR,2021-07-08T10:20:24Z,"#Λιγναδης #Λιγναδης_gate #Λιγναδης_παιδεραστης 
#ΜΚΟ #που_είναι_τα_παιδια
#αρσακειο #μπαμπινιωτης #μενδωνη #κεραμεως
#μαρκουλακης #καρυδηεκτοςμεγκα #χειλακης 
#κουρκουλα #metooGR #MeToo
https://t.co/nSYe0edkoO",,,"Επαγγελματίας Ομοφυλόφιλος
Ατάλαντο και μέτριο ακάου υβριστικού περιεχομένου
Σιχαίνομαι τα πλυντήρια. Προσδοκώ επώνυμες καταθέσεις στην ανακρίτρια. #metoo",Twitter Web App,,1413080518925631491
NoNameMeTooGR,2021-07-08T10:19:49Z,"#Λιγναδης #Λιγναδης_gate #Λιγναδης_παιδεραστης 
#ΜΚΟ #που_είναι_τα_παιδια
#αρσακειο #μπαμπινιωτης #μενδωνη #κεραμεως
#μαρκουλακης #καρυδηεκτοςμεγκα #χειλακης 
#κουρκουλα #metooGR #MeToo
https://t.co/iYFH0qovgA",,,"Επαγγελματίας Ομοφυλόφιλος
Ατάλαντο και μέτριο ακάου υβριστικού περιεχομένου
Σιχαίνομαι τα πλυντήρια. Προσδοκώ επώνυμες καταθέσεις στην ανακρίτρια. #metoo",Twitter Web App,,1413080375052623872
NoNameMeTooGR,2021-07-08T10:19:03Z,"#Λιγναδης #Λιγναδης_gate #Λιγναδης_παιδεραστης 
#ΜΚΟ #που_είναι_τα_παιδια
#αρσακειο #μπαμπινιωτης #μενδωνη #κεραμεως
#μαρκουλακης #καρυδηεκτοςμεγκα #χειλακης 
#κουρκουλα #metooGR #MeToo 
https://t.co/OH8iQ94rcu",,,"Επαγγελματίας Ομοφυλόφιλος
Ατάλαντο και μέτριο ακάου υβριστικού περιεχομένου
Σιχαίνομαι τα πλυντήρια. Προσδοκώ επώνυμες καταθέσεις στην ανακρίτρια. #metoo",Twitter Web App,,1413080179619028998
fraulitsa_lol,2021-07-06T17:36:50Z,"Πως γίνεται να είσαι καλλιτέχνης ηθοποιός, τραγουδιστής, μουσικός,
να'σαι ενάμιση χρόνο χωρις δουλειά &amp; μεροκάματο &amp; να παίρνεις πίπες στ Μητσοτάκη &amp; στ κυβέρνηση του 
Εκτός αν εισαι #Μαρκουλακης, η βολεύτηκες στ #ΕΡΤ 
Να κάτι σαν τον Πορτοκαλογλου, 
ας πούμε &amp; οχι μόνο εννοείται",,,"Mettre du beurre dans les épinards🌵
Βάζω βούτυρο στα αγκάθια🐛

                                 Résident de France🗼",Twitter for Android,el,1412465576103055367
Axios_Esti,2021-07-06T17:31:41Z,"#Greek 🎵
🎼 Δημήτρης Παπαδημητρίου 🎂 (6/7/1959), ✒️ Χ. Θεσσαλονικεύς, 🎤 Β. Βολιώτη &amp; Κ. Μαρκουλάκης

Πέρασ’ η ώρα ας το διαλύσουμε
πάρε τηλέφωνο πρέπει να μιλήσουμε
γεια χαρά.

[ Δυο δυο, τρεις τρεις
σκορπίσαμε στη μέρα
ορκίσου μου πως αύριο
δε θα με κάνεις πέρα.
&gt;&gt; https://t.co/8EDq2jpto2",,,"•@ in honor of #MikisTheodorakis (therefore not his official account) which also deals with issues related to the culture and music of Greece.
•(Worthy He is)*",Twitter for Android,el,1412464280646164480
NoNameMeTooGR,2021-07-05T10:36:01Z,"Mood: κάντε μου και μήνυση
#Λιγναδης_gate #Λιγναδης 
#αρσακειο #μπαμπινιωτης #κεραμεως #μενδωνη 
#ΜΚΟ #που_ειναι_τα_παιδια 
#μανδρου #ζαχαρεα #σκατιανα #χατζηνικος 
#καρυδηεκτοςμεγκα #μαρκουλακης #χειλακης #λουλης
#metoo #metooGR https://t.co/2MvGAcBPso",,,"Επαγγελματίας Ομοφυλόφιλος
Ατάλαντο και μέτριο ακάου υβριστικού περιεχομένου
Σιχαίνομαι τα πλυντήρια. Προσδοκώ επώνυμες καταθέσεις στην ανακρίτρια. #metoo",Twitter Web App,el,1411997288441036802
